10,"['8ed1e8', '908b9f', 'd23678', 'debdb6', 'f3f8fb', 'f6e7e1']","[0.0312, 0.0156, 0.0312, 0.0312, 0.0156, 0.0156, 0.0312, 0.0156, 0.0156, 0.0156]"
11,"['8cd1e9', '9a93a9', 'c4d7e2', 'c74478', 'e9c3a0', 'f9f1ee']","[0.0312, 0.0312, 0.0156, 0.0312, 0.0156, 0.0312, 0.0312, 0.0312, 0.0312, 0.0156]"
12,"['8bc8e3', 'b12b66', 'bbd1e2', 'efc5a4', 'f8e9e4', 'fcfdfe']","[0.0156, 0.0156, 0.0312, 0.0156, 0.0156, 0.0312, 0.0156, 0.0312, 0.0312, 0.0312]"
13,"['68425b', '8ea782', '91cde6', 'd5407a', 'd9c0af', 'f5edeb']","[0.0312, 0.0312, 0.0312, 0.0312, 0.0312, 0.0156, 0.0312, 0.0156, 0.0312, 0.0468]"
14,"['8b8c98', '8ed2ea', 'b32867', 'ccd1dc', 'ebae95', 'f7edea']","[0.0312, 0.0156, 0.0312, 0.0312, 0.0468, 0.0312, 0.0312, 0.0156, 0.0624, 0.0468]"
15,"['617750', '90cee5', 'b3959d', 'c53872', 'd6dde6', 'fbece5']","[0.0312, 0.0468, 0.0468, 0.0624, 0.0312, 0.0624, 0.078, 0.0468, 0.0312, 0.0312]"
16,"['91d1e7', 'a593a3', 'c2316f', 'cedde9', 'fadfcf', 'fbfbfc']","[0.078, 0.0624, 0.0468, 0.0468, 0.078, 0.0468, 0.0468, 0.0468, 0.0468, 0.0468]"
17,"['8dcce4', 'a15f86', 'b4cee2', 'e0e3ea', 'e3bba2', 'fbf0eb']","[0.0468, 0.0468, 0.0468, 0.078, 0.078, 0.0312, 0.078, 0.0624, 0.0468, 0.156]"
18,"['754d6a', '8cd0e8', '9d9eae', 'd4d2d4', 'e66f80', 'faf0ed']","[0.0312, 0.078, 0.0312, 0.0468, 0.0312, 0.0624, 0.0468, 0.0312, 0.0468, 0.0468]"
19,"['8fc8e0', '9cb552', 'b83675', 'dce0e9', 'e5b9a3', 'fcf2ed']","[0.0468, 0.1092, 0.0312, 0.0624, 0.1248, 0.0624, 0.0624, 0.078, 0.0624, 0.1092]"
20,"['718082', '92d3e9', '9e9cb5', 'c43470', 'e2c3b2', 'f5eeeb']","[0.156, 0.0624, 0.078, 0.156, 0.1248, 0.0468, 0.0312, 0.0936, 0.0312, 0.1092]"
21,"['7d8393', '8fd2e9', 'c43371', 'c8ccd5', 'dfad8b', 'f9efeb']","[0.0936, 0.0936, 0.0624, 0.0936, 0.1404, 0.0936, 0.1716, 0.156, 0.0624, 0.0936]"
22,"['8fcae2', 'a84b7a', 'c5d1df', 'd7af87', 'f8fbfd', 'f9e6de']","[0.1092, 0.1092, 0.078, 0.0624, 0.078, 0.1248, 0.1092, 0.2028, 0.078, 0.0936]"
23,"['8ed1e7', 'b2396e', 'baa79d', 'd1dae7', 'fafbfc', 'fbe6db']","[0.156, 0.1716, 0.078, 0.1404, 0.1248, 0.0624, 0.0936, 0.0936, 0.1716, 0.0936]"
24,"['7c858b', '90d1e8', 'c93273', 'd3b2ab', 'f3e5e1', 'fafcfd']","[0.078, 0.1248, 0.0936, 0.0936, 0.0468, 0.0624, 0.0468, 0.0468, 0.1248, 0.0936]"
25,"['8ec6de', 'ab4d7a', 'cdd8e3', 'e3b590', 'fae6de', 'fbfcfd']","[0.2652, 0.1092, 0.156, 0.078, 0.1404, 0.0936, 0.2028, 0.1872, 0.2808, 0.078]"
26,"['878f9f', '90d1e9', 'c1346f', 'd0d3dc', 'edbb98', 'f9eeea']","[0.0936, 0.1092, 0.1092, 0.1248, 0.078, 0.1872, 0.1248, 0.156, 0.1248, 0.1872]"
27,"['838481', '8ed2e9', '9fa7c4', 'c63472', 'e8baa3', 'f4edeb']","[0.078, 0.0936, 0.1248, 0.1716, 0.0936, 0.156, 0.1404, 0.1248, 0.1404, 0.1248]"
28,"['89919b', '8ed0e7', 'bf3670', 'ceccd3', 'e9b295', 'f7efec']","[0.156, 0.1716, 0.0936, 0.1404, 0.1716, 0.2808, 0.1716, 0.156, 0.1092, 0.1716]"
29,"['888f9c', '92d0e7', 'bc3670', 'dcbaa7', 'f3f8fb', 'f7e5de']","[0.1248, 0.2028, 0.1716, 0.1248, 0.1092, 0.2652, 0.0936, 0.3276, 0.1872, 0.2964]"
30,"['8b8f9e', '8ed0e7', 'c83773', 'ccd7e3', 'ebbb9a', 'f9efeb']","[0.2652, 0.078, 0.1716, 0.0936, 0.4212, 0.3432, 0.1404, 0.0936, 0.1716, 0.234]"
31,"['834a62', '8d99a4', '98d1e7', 'd43c7b', 'e3baa0', 'f6edea']","[0.1404, 0.2028, 0.4056, 0.2964, 0.1716, 0.2652, 0.1248, 0.1092, 0.1092, 0.2652]"
32,"['7f8b9c', '91d2e8', 'c13972', 'c8c1c9', 'e3b191', 'f7eeeb']","[0.2652, 0.1248, 0.156, 0.1716, 0.234, 0.3276, 0.2184, 0.156, 0.1716, 0.3744]"
33,"['8bcce4', 'aa4a7a', 'c6bcc3', 'd4a989', 'd9e7f1', 'fcf0ea']","[0.3432, 0.4524, 0.2028, 0.156, 0.2496, 0.2808, 0.234, 0.3432, 0.2184, 0.156]"
34,"['8fcbe3', 'a95380', 'd7e4ef', 'ddb186', 'ddcac8', 'fcf0eb']","[0.2184, 0.234, 0.1404, 0.2184, 0.0936, 0.156, 0.312, 0.1248, 0.2184, 0.234]"
35,"['8b909b', '93395d', '93d0e7', 'da3b7e', 'e1b79d', 'f5ece9']","[0.234, 0.234, 0.1872, 0.312, 0.1872, 0.1872, 0.3276, 0.2652, 0.312, 0.234]"
